age,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,1.16598,1.17944,1.17946,1.18589,1.16715,1.1824,1.17651,1.17923,1.18751
1,0.573,0.58483,0.58097,0.58199,0.5701,0.58148,0.57175,0.58332,0.57941
2,0.43358,0.42889,0.42585,0.42665,0.423,0.42596,0.42216,0.42493,0.41521
3,0.36924,0.36101,0.36227,0.36534,0.36893,0.35964,0.36056,0.36332,0.3596
4,0.33085,0.32538,0.32989,0.33276,0.33468,0.32642,0.32832,0.33127,0.32681
5,0.3213,0.31785,0.3103,0.31912,0.31088,0.30655,0.31254,0.33417,0.30738
6,0.29999,0.29584,0.29537,0.29791,0.29535,0.29706,0.2956,0.29862,0.29966
